timestamp,temp,pulse,stats
7300,36.75,87,97
7320,36.8,83,99
7340,36.8,85,98
7360,36.8,87,97
7380,36.8,87,97
7400,36.8,81,100
7420,36.8,89,96
7440,36.85,83,99
7460,36.85,81,100
7480,37.85,90,96
7500,37.85,84,99
7520,36.85,85,98
7540,36.9,87,97
7560,36.9,81,100
7580,36.9,81,100
7600,36.95,81,100
7620,36.95,87,97
7640,36.95,83,99
7660,37,81,100
7680,37,85,98
7700,37,91,95
7720,37,81,100
7740,37.1,87,97
7760,37.15,85,98
7780,37.15,83,99
7800,37.2,91,95
7820,37.25,83,99
7840,36.4,84,98
7860,36.4,86,97
7880,36.45,82,99
7900,36.5,82,99
7920,36.5,84,98
7940,36.5,80,100
7960,36.6,80,100
7980,37.6,87,97
8000,36.6,82,99
8020,36.6,80,100
8040,36.65,80,100
8060,36.7,80,100
8080,36.75,80,100
8100,36.75,80,100
8120,36.8,84,98
8140,37.8,87,97
8160,36.8,82,99
8180,36.85,86,97
8200,36.85,84,98
8220,36.9,82,99
8240,36.9,84,98
8260,36.95,88,96
8280,36.95,80,100
8300,36.95,80,100
8320,36.95,84,98
8340,37,82,99
8360,37,84,98
8380,37,84,98
8400,37.15,86,97
8420,37.15,80,100
8440,37.15,86,97
8460,37.15,80,100
8480,37.2,82,99
8500,37.25,88,96
8520,36.3,85,97
8540,37.35,84,98
8560,36.45,85,97
8580,36.65,79,100
8600,36.75,79,100
8620,36.75,83,98
8640,36.8,83,98
8660,36.8,83,98
8680,36.9,85,97
8700,35.9,82,98
8720,36.95,85,97
8740,36.95,89,95
8760,37,83,98
8780,37,85,97
8800,37,83,98
8820,37.1,81,99
8840,37.1,81,99
8860,37.15,87,96
8880,37.2,83,98
8900,37.2,83,98
8920,37.25,83,98
8940,37.25,83,98
8960,38.3,82,99
8980,36.3,80,99
9000,37.35,79,100
9020,37.4,79,100
9040,37.5,85,97
9060,36.5,82,98
9080,36.5,82,98
9100,36.6,78,100
9120,36.65,84,97
9140,36.65,88,95
9160,36.65,84,97
9180,36.65,78,100
9200,36.7,78,100
9220,36.7,78,100
9240,36.75,82,98
9260,36.75,80,99
9280,36.8,80,99
9300,36.8,82,98
9320,36.8,78,100
9340,36.85,78,100
9360,36.85,80,99
9380,36.9,82,98
9400,36.9,80,99
9420,36.9,86,96
9440,36.9,78,100
9460,36.9,82,98
9480,36.95,80,99
9500,36.95,80,99
9520,36.95,84,97
9540,37,78,100
9560,37,80,99
9580,37.1,78,100
9600,37.15,80,99
9620,37.15,78,100
9640,37.3,82,98
9660,37.3,78,100
9680,37.35,88,95
9700,36.35,77,100
9720,38.4,83,98
9740,36.4,77,100
9760,36.5,85,96
9780,36.65,81,98
9800,36.65,77,100
9820,36.75,77,100
9840,36.75,83,97
9860,36.75,77,100
9880,36.75,83,97
9900,36.8,83,97
9920,36.8,77,100
9940,36.9,85,96
9960,36.9,81,98
9980,36.9,83,97
10000,36.9,81,98
10020,36.9,83,97
10040,37,77,100
10060,37,77,100
10080,37,79,99
10100,37,81,98
10120,37,83,97
10140,36.1,80,98
10160,37.1,81,98
10180,37.1,81,98
10200,37.1,87,95
10220,38.1,82,98
10240,37.15,83,97
10260,36.15,78,99
10280,37.15,79,99
10300,37.2,77,100
10320,38.25,80,99
10340,37.25,77,100
10360,37.25,81,98
10380,37.3,87,95
10400,36.35,80,98
10420,36.45,76,100
10440,36.6,82,97
10460,36.65,84,96
10480,36.7,76,100
10500,36.7,76,100
10520,36.7,78,99
10540,36.7,80,98
10560,37.7,81,98
10580,36.75,76,100
10600,36.75,80,98
10620,36.75,76,100
10640,36.75,76,100
10660,36.75,78,99
10680,35.8,75,100
10700,38.8,78,100
10720,36.85,78,99
10740,36.85,82,97
10760,36.9,78,99
10780,36.95,84,96
10800,36.95,80,98
10820,36.95,76,100
10840,36.95,80,98
10860,37,80,98
10880,37,80,98
10900,37,82,97
10920,36.1,81,97
10940,37.15,80,98
10960,37.25,78,99
10980,37.3,80,98
11000,37.3,86,95
11020,37.35,80,98
11040,36.35,83,96
11060,36.5,75,100
11080,36.6,79,98
11100,37.6,82,97
11120,36.6,79,98
11140,37.65,82,97
11160,36.65,75,100
11180,36.65,83,96
11200,36.7,75,100
11220,36.7,75,100
11240,36.75,77,99
11260,36.75,81,97
11280,36.8,79,98
11300,36.8,81,97
11320,36.8,75,100
11340,36.8,83,96
11360,36.8,77,99
11380,36.8,81,97
11400,36.85,79,98
11420,36.85,93,91
11440,36.85,75,100
11460,36.85,75,100
11480,36.85,79,98
11500,36.9,79,98
11520,36.9,77,99
11540,36.95,83,96
11560,37,83,96
11580,37,81,97
11600,37.1,79,98
11620,37.1,75,100
11640,37.15,81,97
11660,37.2,83,96
11680,37.25,77,99
11700,37.3,83,96
11720,37.35,79,98
11740,37.35,81,97
11760,37.4,79,98
11780,36.45,84,95
11800,36.45,76,99
11820,36.45,78,98
11840,37.5,83,96
11860,36.6,78,98
11880,37.65,75,100
11900,36.65,78,98
11920,36.7,74,100
11940,36.7,82,96
11960,36.7,76,99
11980,36.75,74,100
12000,36.75,76,99
12020,36.75,76,99
12040,36.8,80,97
12060,36.8,76,99
12080,36.8,78,98
12100,36.8,76,99
12120,36.8,78,98
12140,36.8,80,97
12160,36.85,74,100
12180,36.85,78,98
12200,36.85,78,98
12220,36.85,82,96
12240,36.9,80,97
12260,36.9,80,97
12280,36.9,74,100
12300,36.9,74,100
12320,36.95,78,98
12340,36.95,78,98
12360,36.95,76,99
12380,37,74,100
12400,37,76,99
12420,37,76,99
12440,37,78,98
12460,37.1,80,97
12480,37.1,80,97
12500,37.15,76,99
12520,37.15,78,98
12540,37.15,80,97
12560,37.2,74,100
12580,37.2,74,100
12600,37.25,78,98
12620,36.3,77,98
12640,37.35,80,97
12660,37.35,78,98
12680,36.35,79,97
12700,36.4,77,98
12720,36.4,77,98
12740,37.5,78,98
12760,36.5,79,97
12780,36.6,79,97
12800,36.6,77,98
12820,37.65,74,100
12840,36.7,79,97
12860,36.7,75,99
12880,36.75,77,98
12900,37.75,76,99
12920,36.75,77,98
12940,36.75,77,98
12960,36.8,75,99
12980,36.8,77,98
13000,36.8,77,98
13020,36.8,77,98
13040,36.85,75,99
13060,36.85,77,98
13080,36.85,77,98
13100,36.9,77,98
13120,36.9,79,97
13140,36.9,73,100
13160,36.9,73,100
13180,36.9,77,98
13200,36.9,77,98
13220,36.9,75,99
13240,36.95,75,99
13260,36.95,77,98
13280,36.95,79,97
